map       	#picked   	#banned   
Busan     	3         	6         
Ilios     	1         	6         
Oasis     	1         	6         
Hollywood 	1         	4         
King's Row	7         	1         
Midtown   	1         	5         
Colosseo  	2         	5         
Esperança	1         	9         
Runasapi  	2         	4         
New Junk City	8         	3         
Suravasa  	1         	2         
Hanaoka   	0         	0         
Throne of Anubis	0         	0         
Circuit Royal	2         	4         
Watchpoint Gibraltar	2         	6         
Shambali Monastery	1         	8         
 * data from 10/08-11/26 
